Size,Bet,Time,Price,Entry,Avg,Market Trades,Market Volume,Volume Conc.,Market PnL,Total Trades,Unique Markets,Trade Conc.,Open Positions,O.P. Value,Tot.PnL,Tot.Vol,Wallet Age,WC/TX Delta,WC/TX %,Outcomes matches Bet,Predicted Probability,Predicted Outcomes matches Bet
3400,1,41,0.37,0.37,0.37,1,3400,0.0466,-46,24,11,0.042,7,3300,1800,72400,14400,14400,0,,0.956008,1
1600,0,60,0.78,0.78,0.85,5,5700,0.3021,-635,9,2,0.556,1,1900,-1100,18700,60,0,0,,0.023992,0
1000,1,60,0.23,0.23,0.23,1,1000,0.0268,5,25,9,0.04,1,1100,10,39100,388800,388800,0,,0.668661,1
2100,0,60,0.77,0.77,0.77,1,2100,0.054,-3,17,6,0.059,1,2100,-12,38700,24480,24480,0,,0.071236,0
4500,0,60,0.77,0.21,0.49,4,9500,0.6704,0,4,1,1,0,0,0,14200,508320,508320,0,,0.685861,1
4000,0,60,0.77,0.77,0.77,2,8000,0.768,0,2,1,1,0,0,0,10500,352800,352800,0,,0.082858,0
4000,0,60,0.77,0.21,0.49,4,9900,0.5121,0,4,1,1,0,0,0,19400,N/A,0,0,,0.836505,1
1800,1,60,0.23,0.22,0.22,6,7500,0.1756,11,8,2,0.75,0,0,11,42900,506880,506880,0,,0.659134,1
4200,1,60,0.23,0.23,0.23,5,8400,0.209,-36,8,2,0.625,0,0,-36,40400,840,0,0,,0.970486,1
2900,0,60,0.77,0.77,0.77,3,7400,0.4217,0,5,2,0.6,0,0,-16,17400,354240,354240,0,,0.124831,0
1600,1,60,0.23,0.78,0.41,5,11900,0.164,-3,18,6,0.278,0,0,-4,72500,501120,501120,0,,0.636836,1
1500,0,60,0.77,0.77,0.77,4,8000,0.1756,0,10,4,0.4,0,0,0,45800,N/A,0,0,,0.092412,0
3800,0,60,0.77,0.77,0.77,3,7600,0.1459,0,17,6,0.176,0,0,-9,51800,501120,501120,0,,0.296184,0
2000,1,60,0.23,0.23,0.23,4,3900,0.0585,17,14,3,0.286,0,0,25,67300,840,0,0,,0.974398,1
1900,0,60,0.75,0.75,0.75,1,1900,0.0601,6,14,6,0.071,1,1900,-1,32200,375840,375840,0,,0.157419,0
1700,1,60,0.22,0.22,0.22,1,1700,0.1494,214,3,2,0.333,1,1900,1600,11300,15840,15840,0,,0.920129,1
2000,0,120,0.66,0.66,0.66,1,2000,0.1064,242,6,3,0.167,2,4600,154,18800,N/A,0,0,,0.265196,0
2800,0,120,0.89,0.89,0.89,1,2800,0.1468,-46,6,3,0.167,2,4600,154,18800,N/A,0,0,,0.411985,1
1200,0,120,0.9,0.9,0.9,1,1200,0.1713,-3,9,7,0.111,6,1300,-142,6800,14400,14400,0,,0.121274,0
3000,1,120,0.89,0.89,0.89,1,3000,0.0652,-29,10,6,0.1,2,7300,14100,46000,64800,63360,0,,0.865425,1
13000,0,120,0.82,0.82,0.82,3,13400,0.7957,-83,11,8,0.273,2,13400,22100,16900,2760480,2760480,0,,0.420361,1
1000,1,120,0.4,0.4,0.4,1,1000,0.1231,-85,4,2,0.25,2,935,-2200,8100,480,0,0,,0.896421,1
2600,1,120,0.4,0.4,0.4,1,2600,0.0475,-221,16,9,0.063,5,2300,-605,53800,66240,64800,0,,0.900094,1
5000,Israel,120,0.69,0.69,0.69,1,5000,0.1087,-672,10,6,0.1,2,7300,14100,46000,64800,63360,0,,0.782923,1
2800,1,180,0.63,0.54,0.58,4,4500,0.3726,-977,6,2,0.667,1,3800,996,12100,7200,7200,0,,0.895830,1
1300,1,180,0.55,0.55,0.55,1,1300,0.0735,60,22,10,0.045,6,3100,1400,17700,N/A,0,0,,0.895611,1
5000,Israel,180,0.7,0.7,0.7,1,5000,0.067,-738,7,5,0.143,4,34400,4500,74600,11520,11520,0,,0.936798,1
1400,1,180,0.54,0.54,0.58,4,4500,0.3726,-977,6,2,0.667,1,3800,996,12100,7200,7200,0,,0.897911,1
2000,0,180,0.38,0.46,0.43,3,3300,0.1913,-310,6,2,0.5,2,6100,-872,17100,N/A,0,0,,0.152765,0
